Scale,N,Approximation,Error
1,47100,0.971868,2.89578
1,47600,0.923845,2.1887
1,48100,0.941788,0.288957
1,48600,0.952675,0.863691
1,49100,0.912424,3.39788
1,49600,0.956653,1.28489
1,50100,0.929142,1.62787
1,50600,0.965415,2.21254
1,51100,0.925147,2.05083
1,51600,0.959302,1.56536
1,52100,0.933301,1.18747
1,52600,0.907319,3.93829
1,53100,0.937382,0.755401
1,53600,0.953358,0.936036
1,54100,0.940388,0.437156
1,54600,0.964744,2.14145
1,55100,0.965971,2.2714
1,55600,0.981565,3.92238
1,56100,0.938503,0.636782
1,56600,0.961572,1.80571
1,57100,0.935639,0.939947
1,57600,0.921875,2.39722
1,58100,0.953098,0.908498
1,58600,0.930887,1.44305
1,59100,0.945854,0.141585
1,59600,0.949245,0.50055
1,60100,0.943012,0.159398
1,60600,0.950083,0.589224
1,61100,0.943944,0.0606482
1,61600,0.923295,2.24683
1,62100,0.960145,1.65457
1,62600,0.930911,1.44059
1,63100,0.900555,4.6545
1,63600,0.914701,3.15674
1,64100,0.953198,0.919088
1,64600,0.953173,0.916467
1,65100,0.971198,2.82483
1,65600,0.935595,0.944681
1,66100,0.955371,1.1491
1,66600,0.932808,1.23972
1,67100,0.953055,0.903949
1,67600,0.971893,2.89844
1,68100,0.954112,1.0158
1,68600,0.965743,2.24731
1,69100,0.984805,4.2654
1,69600,0.907328,3.93742
1,70100,0.914408,3.18779
1,70600,0.933074,1.21157
1,71100,0.962025,1.85366
1,71600,0.937151,0.779906
1,72100,0.93932,0.550207
1,72600,0.970041,2.70235
1,73100,0.935021,1.00545
1,73600,0.925611,2.00163
1,74100,0.951417,0.730513
1,74600,0.927279,1.8251
1,75100,0.949401,0.517049
1,75600,0.933862,1.12806
1,76100,0.944809,0.0309444
1,76600,0.948433,0.414628
1,77100,0.924773,2.0904
1,77600,0.94942,0.519092
1,78100,0.946223,0.18058
1,78600,0.951336,0.721924
1,79100,0.926991,1.85555
1,79600,0.947236,0.287871
1,80100,0.952559,0.851452
1,80600,0.934243,1.08775
1,81100,0.938656,0.62055
1,81600,0.952206,0.814035
1,82100,0.949756,0.554697
1,82600,0.959443,1.58027
1,83100,0.929603,1.57904
1,83600,0.966208,2.29651
1,84100,0.941141,0.357398
1,84600,0.951537,0.743179
1,85100,0.970329,2.73281
1,85600,0.941589,0.310042
1,86100,0.921022,2.48753
1,86600,0.955831,1.19788
1,87100,0.942882,0.173151
1,87600,0.941781,0.28971
1,88100,0.92395,2.17753
1,88600,0.942156,0.250014
1,89100,0.919192,2.68129
1,89600,0.948382,0.409152
1,90100,0.946448,0.204465
1,90600,0.923289,2.2475
1,91100,0.928924,1.65089
1,91600,0.963428,2.00216
1,92100,0.950597,0.643714
1,92600,0.951134,0.70054
1,93100,0.953545,0.955768
1,93600,0.924412,2.12858
1,94100,0.940755,0.39837
1,94600,0.950053,0.586084
1,95100,0.950315,0.613887
1,95600,0.945345,0.0876641
1,96100,0.932882,1.23182
1,96600,0.936594,0.838839
1,97100,0.942327,0.231832
1,97600,0.942367,0.22767
1,98100,0.947248,0.289092
1,98600,0.940923,0.38054
1,99100,0.937437,0.749616
1,99600,0.925703,1.99196
1.5,100,1.8,90.5736
1.5,600,0.72,23.7706
1.5,1100,0.785455,16.8406
