Scale,N,Approximation,Error
15,93600,1.18673,25.6442
15,94100,0.983688,4.14713
15,94600,1.01302,7.25303
15,95100,0.950442,0.627247
15,95600,0.865732,8.3413
15,96100,1.08787,15.177
15,96600,0.99205,5.03247
15,97100,0.807497,14.5069
15,97600,1.09346,15.7695
15,98100,0.976881,3.42646
15,98600,1.09342,15.7647
15,99100,1.06592,12.8538
15,99600,0.830964,12.0224
20,100,0,100
20,600,3.08167,226.269
20,1100,0,100
20,1600,0,100
20,2100,2.64143,179.659
20,2600,0.711154,24.7072
20,3100,2.98226,215.744
20,3600,0,100
20,4100,1.8039,90.9867
20,4600,0.401957,57.4432
20,5100,0,100
20,5600,1.32071,39.8296
20,6100,0.60623,35.8159
20,6600,0.840455,11.0175
20,7100,0.260423,72.428
20,7600,0.973158,3.03231
20,8100,1.14136,20.8404
20,8600,1.29,36.5777
20,9100,0.406374,56.9755
20,9600,0.770417,18.4328
20,10100,0.915347,3.08842
20,10600,1.74434,84.6806
20,11100,0.333153,64.7277
20,11600,1.11578,18.1319
20,12100,0.76405,19.1069
20,12600,1.17397,24.2929
20,13100,1.27031,34.4926
20,13600,0.815735,13.6347
20,14100,2.09816,122.141
20,14600,1.51973,60.8998
20,15100,1.34695,42.6076
20,15600,0.592628,37.256
20,16100,0.459379,51.3636
20,16600,0.891084,5.65716
20,17100,1.40567,48.8245
20,17600,0.945511,0.105258
20,18100,1.53232,62.2332
20,18600,1.09349,15.7729
20,19100,0.871257,7.75641
20,19600,0.56602,40.073
20,20100,1.10388,16.8725
20,20600,0.718058,23.9762
20,21100,1.57735,67.0002
20,21600,0.94162,0.306698
20,22100,0.501991,46.8521
20,22600,1.1454,21.2681
20,23100,0.800433,15.2548
20,23600,1.01852,7.83467
20,24100,1.30427,38.0889
20,24600,0.977114,3.45114
20,25100,0.662988,29.8067
20,25600,0.577813,38.8246
20,26100,0.708429,24.9956
20,26600,1.2512,32.4701
20,27100,1.02343,8.35501
20,27600,1.07188,13.4849
20,28100,0.855409,9.43423
20,28600,0.775804,17.8624
20,29100,0.953093,0.907935
20,29600,0.749595,20.6373
20,30100,1.16714,23.5703
20,30600,0.664673,29.6283
20,31100,1.01071,7.00784
20,31600,1.11174,17.7046
20,32100,1.03682,9.77274
20,32600,0.680613,27.9406
20,33100,1.2848,36.0276
20,33600,0.880476,6.78029
20,34100,0.976012,3.33446
20,34600,0.80159,15.1323
20,35100,0.948205,0.390458
20,35600,0.779073,17.5163
20,36100,1.17803,24.7233
20,36600,0.959863,1.62477
20,37100,1.09644,16.0849
20,37600,0.786809,16.6973
20,38100,0.679423,28.0667
20,38600,0.766425,18.8554
20,39100,0.709335,24.8997
20,39600,1.02722,8.75633
20,40100,0.783865,17.0089
20,40600,0.819754,13.2092
20,41100,0.944745,0.0240694
20,41600,0.977837,3.52766
20,42100,0.834466,11.6516
20,42600,0.911479,3.4979
20,43100,0.986705,4.46664
20,43600,0.805757,14.6911
20,44100,0.964331,2.09778
20,44600,0.414574,56.1073
20,45100,1.06594,12.8558
20,45600,1.01371,7.32533
20,46100,0.802169,15.071
20,46600,1.03163,9.22309
20,47100,0.785138,16.8741
20,47600,0.893424,5.40941
20,48100,0.49973,47.0915
20,48600,1.33158,40.9804
20,49100,0.677841,28.2341
20,49600,1.15563,22.3509
20,50100,0.959561,1.59274
20,50600,0.548123,41.968
20,51100,0.976967,3.43557
20,51600,0.716667,24.1235
20,52100,0.816257,13.5794
20,52600,1.05456,11.651
20,53100,0.870527,7.83362
20,53600,1.00039,5.91568
20,54100,0.991146,4.93679
20,54600,0.846612,10.3657
20,55100,0.872486,7.6262
20,55600,0.598597,36.624
20,56100,0.823975,12.7623
20,56600,1.17604,24.5125
20,57100,0.744781,21.1469
20,57600,0.834618,11.6355
20,58100,0.986558,4.451
20,58600,1.04125,10.2411
20,59100,0.938579,0.628735
20,59600,0.868658,8.03156
20,60100,0.861431,8.79669
20,60600,1.312,38.9066
20,61100,0.938118,0.677526
20,61600,1.17063,23.9398
20,62100,0.65504,30.6481
20,62600,0.856565,9.31181
20,63100,0.966989,2.37918
20,63600,1.13382,20.0424
20,64100,0.894212,5.326
20,64600,0.830046,12.1195
20,65100,1.1361,20.2835
20,65600,0.873765,7.49081
20,66100,0.867156,8.19057
20,66600,1.08275,14.635
20,67100,0.744009,21.2286
20,67600,1.01203,7.14751
20,68100,0.678781,28.1346
